test_type	geneA	geneB	beta	se	p	q	sig	delta_ci_low	delta_ci_high	phenotype_score
pair	MED12	TRAF6	0.00021736530077713	0.000773861640560301	0.778799424789331	0.778799424789331	FALSE	NA	NA	Proliferation
pair	MED12	ZC3H12A	0.000461675974808208	0.000785410414591037	0.55665651571764	0.596417695411757	FALSE	NA	NA	Proliferation
pair	MED12	SOCS3	0.000560904035750818	0.000751928404446912	0.455695175264575	0.525802125305279	FALSE	NA	NA	Proliferation
pair	MED12	NR4A1	0.00121389785839066	0.000819022437704014	0.13830566459205	0.188598633534613	FALSE	NA	NA	Proliferation
pair	TRAF6	ZC3H12A	0.00148410752271033	0.000676829392400539	0.0283264748321002	0.0472107913868337	TRUE	NA	NA	Proliferation
pair	TRAF6	SOCS3	0.00164150730708877	0.000647002729396798	0.0111776658007497	0.0209581233764058	TRUE	NA	NA	Proliferation
pair	TRAF6	NR4A1	0.00273800526654108	0.000704703754164252	0.000102191799766218	0.000510958998831088	TRUE	NA	NA	Proliferation
pair	ZC3H12A	SOCS3	0.00195447257202935	0.000514211903178716	0.000144166333054677	0.000540623748955038	TRUE	NA	NA	Proliferation
pair	ZC3H12A	NR4A1	0.00194777440236104	0.000525010804083704	0.000207283700084587	0.00062185110025376	TRUE	NA	NA	Proliferation
pair	SOCS3	NR4A1	0.0028988305734256	0.0005508886590241	1.42420163804401e-07	2.13630245706602e-06	TRUE	NA	NA	Proliferation
pair_vs_single	RASA2	MED12	-0.00171709117173686	NA	0.0348485018531117	0.0737968274536483	FALSE	-0.00326676979773262	-8.01289565552955e-05	Proliferation
pair_vs_single	RASA2	TRAF6	0.000734765700905719	NA	0.302626980414818	0.435782851797338	FALSE	-0.000648884783003914	0.00202868555093864	Proliferation
pair_vs_single	RASA2	ZC3H12A	-0.000213102006269137	NA	0.690270000846391	0.730874118543237	FALSE	-0.00121331284466162	0.000830173031517765	Proliferation
pair_vs_single	RASA2	SOCS3	0.000470884131810929	NA	0.394529537784696	0.539411928525115	FALSE	-0.000636571253721083	0.00159330906690621	Proliferation
pair_vs_single	RASA2	NR4A1	0.0013480898428796	NA	0.0198159006342003	0.0509551730593722	FALSE	0.000181203871426116	0.00242763548684286	Proliferation
pair_vs_single	MED12	TRAF6	-0.000875441784752459	NA	0.273074335209577	0.409611502814365	FALSE	-0.00240708377754176	0.000691032869813096	Proliferation
pair_vs_single	MED12	ZC3H12A	-0.000651647835277649	NA	0.433195284330243	0.539411928525115	FALSE	-0.00226270603606313	0.000935656845257277	Proliferation
pair_vs_single	MED12	SOCS3	-0.000561051553992426	NA	0.488190238117345	0.566930599104013	FALSE	-0.00202813006937681	0.000973898780199893	Proliferation
pair_vs_single	MED12	NR4A1	0.000107536634033321	NA	0.887075114573687	0.887075114573687	FALSE	-0.00151702502025573	0.00177182945476355	Proliferation
pair_vs_single	TRAF6	ZC3H12A	0.000420176857218637	NA	0.565806245942783	0.617243177392126	FALSE	-0.000941069370582634	0.00170545406820136	Proliferation
pair_vs_single	TRAF6	SOCS3	0.00056096456344086	NA	0.422986771814522	0.539411928525115	FALSE	-0.000828825102388686	0.0018226463487675	Proliferation
pair_vs_single	TRAF6	NR4A1	0.00165849987476334	NA	0.0248645093990196	0.0596748225576471	FALSE	0.000215406259839956	0.00308649161863164	Proliferation
pair_vs_single	ZC3H12A	SOCS3	0.000858382368325069	NA	0.117947441496333	0.202195613993713	FALSE	-0.000254579281948289	0.0019143030647128	Proliferation
pair_vs_single	ZC3H12A	NR4A1	0.000886784142956241	NA	0.116487378409566	0.202195613993713	FALSE	-0.00021398963073893	0.00197578264732664	Proliferation
pair_vs_single	SOCS3	NR4A1	0.00178506700830734	NA	0.00208761470550398	0.00835045882201593	TRUE	0.000658064621289382	0.00296860451764736	Proliferation
single	RASA2	NA	0.0161004200948304	0.00174328556217558	2.56660897589512e-20	3.07993077107415e-20	TRUE	NA	NA	Stemness
single	MED12	NA	0.0272990532500035	0.00191659513460838	4.91887065179358e-46	1.47566119553808e-45	TRUE	NA	NA	Stemness
single	TRAF6	NA	0.0266704180271601	0.00186428875714626	2.00881602618352e-46	1.20528961571011e-45	TRUE	NA	NA	Stemness
single	ZC3H12A	NA	0.0180313415034593	0.00167351667881119	4.54137035008774e-27	6.81205552513161e-27	TRUE	NA	NA	Stemness
single	SOCS3	NA	0.014324464036248	0.00177491930019703	7.0018029273891e-16	7.0018029273891e-16	TRUE	NA	NA	Stemness
single	NR4A1	NA	0.0196576736934019	0.00177354612276853	1.50311983010111e-28	3.00623966020221e-28	TRUE	NA	NA	Stemness
pair	RASA2	MED12	0.031166644512326	0.00677163670136206	4.17394319114186e-06	5.21742898892732e-06	TRUE	NA	NA	Stemness
pair	RASA2	TRAF6	0.0321276925618241	0.00573589824889089	2.12920217341644e-08	3.19380326012467e-08	TRUE	NA	NA	Stemness
pair	RASA2	ZC3H12A	0.0362059248800852	0.00438823966847913	1.57506688567637e-16	5.90650082128637e-16	TRUE	NA	NA	Stemness
pair	RASA2	SOCS3	0.0417851384413415	0.00455284899829467	4.39987464990524e-20	6.59981197485786e-19	TRUE	NA	NA	Stemness
pair	RASA2	NR4A1	0.036606648959963	0.0046949021037028	6.33430740325588e-15	1.90029222097676e-14	TRUE	NA	NA	Stemness
pair	MED12	TRAF6	0.0274579227789409	0.00675093337949102	4.75654873301948e-05	5.09630221394944e-05	TRUE	NA	NA	Stemness
pair	MED12	ZC3H12A	0.027211710519368	0.00685573448053607	7.21174601429458e-05	7.21174601429458e-05	TRUE	NA	NA	Stemness
pair	MED12	SOCS3	0.0390540710169515	0.00656082061875869	2.63883764657555e-09	4.39806274429258e-09	TRUE	NA	NA	Stemness
pair	MED12	NR4A1	0.0348095472271648	0.00715612707356607	1.14862722546497e-06	1.56630985290677e-06	TRUE	NA	NA	Stemness
pair	TRAF6	ZC3H12A	0.0361456787620085	0.00589754701899358	8.84695946885509e-10	1.65880490041033e-09	TRUE	NA	NA	Stemness
pair	TRAF6	SOCS3	0.0355615479401728	0.00563976096419386	2.87253433349072e-10	6.15543071462297e-10	TRUE	NA	NA	Stemness
pair	TRAF6	NR4A1	0.0256604886372157	0.00615379215174782	3.04778793983309e-05	3.5166783921151e-05	TRUE	NA	NA	Stemness
pair	ZC3H12A	SOCS3	0.0384724250633835	0.00449039502927489	1.05558609656355e-17	5.27793048281776e-17	TRUE	NA	NA	Stemness
pair	ZC3H12A	NR4A1	0.030973429276314	0.0045839304267475	1.40918188962478e-11	3.52295472406196e-11	TRUE	NA	NA	Stemness
pair	SOCS3	NR4A1	0.0427206116840562	0.00480929308654796	6.51222070558063e-19	4.88416552918547e-18	TRUE	NA	NA	Stemness
pair_vs_single	RASA2	MED12	0.00359893555770615	NA	0.627557730853757	0.684608433658644	FALSE	-0.0105452257069972	0.0167994164573608	Stemness
pair_vs_single	RASA2	TRAF6	0.00387404541191372	NA	0.488834792144856	0.567679113458542	FALSE	-0.00702885887776787	0.0158584411541203	Stemness
pair_vs_single	RASA2	ZC3H12A	0.00809471737774001	NA	0.0806542693448272	0.112594793554606	FALSE	-0.0013795447404512	0.0174455577900504	Stemness
pair_vs_single	RASA2	SOCS3	0.0138050845674101	NA	0.00426757414358537	0.00698330314404878	TRUE	0.00392285436304244	0.0229965980907807	Stemness
pair_vs_single	RASA2	NR4A1	0.00858951996796315	NA	0.0813184620116601	0.112594793554606	FALSE	-0.000904910717188883	0.0181132924656143	Stemness
pair_vs_single	MED12	TRAF6	-0.000659806131871598	NA	0.921147267579152	0.921147267579152	FALSE	-0.0141553445397855	0.0129529246617684	Stemness
pair_vs_single	MED12	ZC3H12A	-0.00106094507220362	NA	0.904438736759867	0.921147267579152	FALSE	-0.0142755176404291	0.0128828933816973	Stemness
