Gene	score_fdr_pos	score_tophalf_pos	score_pos	n_fdr_guides_pos	pval_pos	qval_pos	score_fdr_neg	score_tophalf_neg	score_neg	n_fdr_guides_neg	pval_neg	qval_neg	z_pos
DLG1_PTPRF	0.756373682168515	-1.65712498218436	-1.50585024575066	2	0.00526133585933322	0.320315137912263	3.17394564525149	3.5969178638298	5.18389068645554	16	1.08441596451668e-96	1.22910089595264e-96	2.16592937216366
PDCD1_PTPN12	0.658895483699097	-1.64201827475546	-1.51023917801564	2	0.00544555213095055	0.323820390670711	3.38901546964311	3.9944849699578	5.68899270477936	16	1.28741131504971e-109	1.81073197611778e-109	2.15654322015761
DUSP4_PAG1	0.342686871641293	-1.6027062708683	-1.53416889654004	2	0.00655434756936452	0.380896971246933	3.82593308594599	4.08700848782386	5.99997503079685	15	5.5119523289849e-118	9.23595157615622e-118	2.10536722518406
FGL2_TIGIT	-0.456207012664573	-1.40292738173569	-1.53978948553506	3	0.00684209553030434	0.388783072688627	3.2753359291917	3.8513272248073	5.48899518940315	16	2.11979701459272e-104	2.67406066419022e-104	2.09334705729683
DOK2_ZBTB7B	-0.223259799207562	-1.4780985744809	-1.54507651424317	3	0.00712289301708125	0.395939944449495	2.79117931181961	3.09834668402436	4.49393633993417	16	2.28010793246909e-80	2.3172639043416e-80	2.08204024003045
INPPL1_TNFRSF14	1.08270699730386	-1.66068347073886	-1.55241277100848	1	0.00752935136832224	0.403247319448461	3.27646498119997	3.57775504315006	5.21598753375004	16	1.73137719802881e-97	1.97728070359967e-97	2.06635095229548
GSK3B_ZBTB7B	-0.616659252166451	-1.4327844824368	-1.55611633287009	2	0.00774219974543632	0.403247319448461	2.83983143359477	3.14479128051487	4.56470699731225	16	5.68212032750143e-82	5.80934893139591e-82	2.05843053053954
NR4A3_TIGIT	-0.576695411186227	-1.44352127118678	-1.55886035342402	2	0.00790329973487121	0.403247319448461	3.08411844876413	3.52065164379926	5.06271086818133	16	1.03146516178765e-93	1.13390215764876e-93	2.05256217977177
SOCS3_ZBTB7B	-0.609145197368088	-1.31688140601315	-1.56053948496038	4	0.00800332826157278	0.403247319448461	3.16418072730481	3.78004568406138	5.36213604771379	16	3.69942953273482e-101	4.42857739475793e-101	2.04897119615961
PTPN22_PTPN6	0.723951854329607	-1.70598850481068	-1.56119813394475	2	0.00804286792799042	0.403247319448461	4.33762886188502	4.6272649026753	6.79607933361781	14	7.81231817795704e-141	2.69219643949274e-140	2.04756261222332
DUSP4_PTGES2	-0.394459053730727	-1.45254870561486	-1.57088642173408	3	0.00864462513697233	0.420414150478888	3.61531274339148	3.7015125569581	5.50916892865384	15	6.3968325939936e-105	8.1417127639829e-105	2.02684328087375
NDFIP1_STAT5A	0.605632443934751	-1.69309300023721	-1.57196651145026	2	0.00871409854336373	0.420414150478888	4.22903595711503	4.51277932277979	6.6272973013373	15	8.09445183517314e-136	2.33342878720831e-135	2.02453340556828
NR4A3_ZBTB7B	-0.833435657850737	-1.24685060268923	-1.58022486582953	4	0.00926166561794353	0.430174324964235	2.78555381174443	3.17949633381781	4.57227323969003	16	3.82054037641196e-82	3.90764869699415e-82	2.0068721237704
FGL2_PTPN12	0.472061092325708	-1.67508084021501	-1.58066862174987	2	0.00929192290256277	0.430174324964235	3.36740919493037	3.89566102483434	5.57936562229952	16	9.6641747079948e-107	1.27443500404037e-106	2.00592310923329
CBL_ZC3H12A	0.836619994618891	-1.74987309023545	-1.58254909131168	2	0.00942110371450807	0.430174324964235	3.72300764646251	4.39343772181928	6.25494154505054	16	4.4346508537131e-125	9.07878481420688e-125	2.00190154497021
